unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636617124519,-8,792
1636617125311,-8,792
1636617126676,-8,782
1636617127458,-8,778
1636617128236,-8,782
1636617129796,-8,785
1636617130581,-8,756
1636617131337,-8,796
1636617132133,-8,764
1636617132899,-8,745
1636617133644,-8,807
1636617134451,-8,758
1636617135209,-8,780
1636617135989,-8,769
1636617136763,-8,793
1636617137556,-8,750
1636617138306,-8,751
1636617139057,-8,763
1636617139820,-8,749
1636617141308,-8,771
1636617142079,-8,775
1636617142854,-8,757
1636617143611,-8,763
1636617144379,-8,785
1636617145164,-8,759
1636617145923,-8,765
1636617146688,-8,764
1636617147452,-8,778
1636617149230,-8,738
1636617149968,-8,744
1636617150712,-8,758
1636617151470,-8,750
1636617152220,-8,752
1636617153517,-8,787
1636617154304,-8,758
1636617155062,-8,782
1636617156624,-8,796
1636617157420,-8,797
1636617158217,-8,781
1636617158998,-8,754
1636617159759,-8,789
1636617160548,-8,762
1636617161310,-8,751
1636617162061,-8,756
1636617162817,-8,747
1636617163715,-8,741
1636617164456,-8,748
1636617165204,-8,740
1636617165944,-8,739
1636617166683,-8,747
1636617167434,-8,770
1636617168204,-8,773
1636617168977,-8,770
1636617169747,-8,743
1636617170490,-8,739
1636617172231,-8,761
1636617172992,-8,797
1636617173789,-8,808
1636617174597,-8,811
1636617175408,-8,809
1636617176832,-8,799
1636617177631,-8,797
1636617178428,-8,795
1636617179996,-8,812
1636617180808,-8,788
1636617181596,-8,849
1636617182449,-8,791
1636617184102,-8,810
1636617184912,-8,790
1636617185702,-8,773
1636617186475,-8,761
1636617187236,-8,760
1636617188752,-8,751
1636617189503,-8,762
1636617190265,-8,789
1636617191054,-8,777
1636617191836,-8,756
1636617192592,-8,755
1636617193347,-8,750
1636617194097,-8,748
1636617194845,-8,753
1636617195599,-8,761
1636617196360,-8,768
1636617197128,-8,774
1636617197902,-8,777
1636617198679,-8,778
1636617199458,-8,778
1636617200236,-8,765
1636617201001,-8,778
1636617201779,-8,750
1636617202529,-8,765
1636617204157,-8,779
1636617204936,-8,755
1636617205691,-8,746
1636617206437,-8,793
1636617207230,-8,757
1636617208529,-8,765
1636617209294,-8,748
1636617210042,-8,763
1636617210864,-8,760
1636617211624,-8,764
1636617212388,-8,758
1636617213146,-8,753
1636617213899,-8,756
1636617214662,-8,778
1636617215440,-8,776
1636617216216,-8,776
1636617216992,-8,785
1636617217777,-8,791
1636617218569,-8,791
1636617219360,-8,791
1636617220151,-8,790
1636617220941,-8,788
1636617221729,-8,785
1636617223296,-8,779
1636617224075,-8,776
1636617224851,-8,759
1636617225610,-8,744
1636617226358,-8,738
1636617227096,-8,763
1636617227859,-8,778
1636617228637,-8,790
1636617229427,-8,799
1636617231032,-8,812
1636617231844,-8,817
1636617232661,-8,823
1636617233484,-8,826
1636617235140,-8,861
1636617236001,-8,864
1636617236865,-8,864
1636617237729,-8,861
1636617238593,-8,855
1636617239448,-8,824
1636617240272,-8,810
1636617241082,-8,803
1636617241885,-8,818
1636617243476,-8,793
1636617244269,-8,870
1636617245139,-8,860
1636617245999,-8,837
1636617246839,-8,857
1636617247696,-8,803
1636617248499,-8,827
1636617249326,-8,800
1636617250126,-8,787
1636617250918,-8,786
1636617251704,-8,786
1636617252490,-8,798
1636617253288,-8,819
1636617254107,-8,824
1636617254936,-8,768
1636617255704,-8,827
1636617256531,-8,803
1636617257334,-8,801
1636617258135,-8,799
1636617259720,-8,790
1636617260510,-8,793
1636617261303,-8,779
1636617262082,-8,798
1636617263660,-8,792
1636617264452,-8,797
1636617265249,-8,756
1636617266005,-8,807
1636617266821,-8,791
1636617267612,-8,769
1636617268381,-8,819
1636617269200,-8,788
1636617269988,-8,765
1636617271556,-8,770
1636617272326,-8,794
1636617273120,-8,763
1636617273883,-8,811
1636617274695,-8,797
1636617275492,-8,793
1636617276285,-8,826
1636617277111,-8,804
1636617277915,-8,805
1636617278726,-8,822
1636617279548,-8,808
1636617280356,-8,769
1636617281125,-8,818
1636617281943,-8,789
1636617282734,-8,786
1636617283520,-8,790
1636617284310,-8,777
1636617285087,-8,786
1636617285873,-8,774
1636617287456,-8,765
1636617288221,-8,800
1636617289021,-8,818
1636617289839,-8,793
1636617290638,-8,806
1636617291444,-8,817
1636617292261,-8,796
1636617293057,-8,785
1636617293842,-8,814
1636617294658,-8,774
1636617295432,-8,762
1636617296194,-8,802
1636617296996,-8,775
1636617297771,-8,786
1636617298561,-8,779
1636617299340,-8,815
1636617300155,-8,809
1636617300964,-8,800
1636617301764,-8,822
1636617302590,-8,846
1636617303436,-8,788
1636617304224,-8,818
1636617305042,-8,820
1636617305862,-8,778
1636617307432,-8,763
1636617308195,-8,772
1636617308967,-8,792
1636617309759,-8,785
1636617311312,-8,805
1636617312117,-8,802
1636617312919,-8,806
1636617313725,-8,808
1636617314539,-8,817
1636617315356,-8,803
1636617316159,-8,775
1636617316934,-8,822
1636617317756,-8,806
1636617319332,-8,810
